piece,livre,chapter,confidence,raw
335,12,9,certain,"Livre 12, chap 9"
336,12,13,certain,"Livre 12, chap 13"
337,12,13,certain,"Livre 12, chap 13"
338,12,14,certain,"Livre 12, chap 14"
339,12,14,certain,"Livre 12, chap 14"
340,12,14,certain,"Livre 12, chap 14"
341,12,15,certain,"Livre 12, chap 15"
342,12,21,certain,"Livre 12, chap 21"
343,12,22,certain,"Livre 12, chap 22"
344,12,22,certain,"Livre 12, chap 22"
345,12,22,certain,"Livre 12, chap 22"
346,12,46,certain,"Livre 12, chap 46"
347,12,42,certain,"Livre 12, chap 42"
348,12,43,certain,"Livre 12, chap 43"
349,12,60,certain,"Livre 12, chap 60"
350,12,64,certain,"Livre 12, chap 64"
351,12,66,certain,"Livre 12, chap 66"
352,12,100,certain,"Livre 12, chap 100"
353,13,1,certain,"Livre 13, chap 1"
354,13,1,certain,"Livre 13, chap 1"
355,13,1,certain,"Livre 13, chap 1"
356,,,none,N/A
357,13,2,certain,"Livre 13, chap 2"
358,,,none,N/A
359,13,3,certain,"Livre 13, chap 3"
360,,,none,N/A
361,,,none,N/A
362,13,3,certain,"Livre 13, chap 3"
363,13,17,certain,"Livre 13, chap 17"
364,,,none,
365,13,5,certain,"Livre 13, chap 5"
366,13,5,certain,"Livre 13, chap 5"
367,13,5,certain,"Livre 13, chap 5"
368,13,14,certain,"Livre 13, chap 14"
369,13,16,certain,"Livre 13, chap 16"
370,13,16,certain,"Livre 13, chap 16"
371,13,19,certain,"Livre 13, chap 19"
372,13,20,certain,"Livre 13, chap 20"
373,13,22,certain,"Livre 13, chap 22"
374,13,23,certain,"Livre 13, chap 23"
375,13,23,certain,"Livre 13, chap 23"
376,13,26,certain,"Livre 13, chap 26"
377,13,26,certain,"Livre 13, chap 26"
378,13,27,certain,"Livre 13, chap 27"
379,13,27,certain,"Livre 13, chap 27"
380,13,27,certain,"Livre 13, chap 27"
381,13,29,certain,"Livre 13, chap 29"
382,,,none,N/A
383,,,none,N/A
384,13,31,certain,"Livre 13, chap 31"
385,13,31,certain,"Livre 13, chap 31"
386,13,37,certain,"Livre 13, chap 37"
387,,,none,N/A
388,13,37,certain,"Livre 13, chap 37"
389,13,37,certain,"Livre 13, chap 37"
390,13,37,certain,"Livre 13, chap 37"
391,13,38,certain,"Livre 13, chap 38"
392,13,39,certain,"Livre 13, chap 39"
393,13,39,certain,"Livre 13, chap 39"
394,13,39,certain,"Livre 13, chap 39"
395,13,39,certain,"Livre 13, chap 39"
396,13,39,certain,"Livre 13, chap 39"
397,,,none,
398,13,40,certain,"Livre 13, chap 40"
399,13,42,certain,"Livre 13, chap 42"
400,13,42,certain,"Livre 13, chap 42"
401,13,43,certain,"Livre 13, chap 43"
402,13,43,certain,"Livre 13, chap 43"
403,13,48,certain,"Livre 13, chap 48"
404,13,48,certain,"Livre 13, chap 48"
405,13,53,certain,"Livre 13, chap 53"
406,13,62,certain,"Livre 13, chap 62"
407,13,62,certain,"Livre 13, chap 62"
408,14,1,certain,"Livre 14, chap 1"
409,14,2,certain,"Livre 14, chap 2"
410,14,2,certain,"Livre 14, chap 2"
411,14,12,certain,"Livre 14, chap 12"
412,14,13,certain,"Livre 14, chap 13"
413,14,14,certain,"Livre 14, chap 14"
414,14,19,certain,"Livre 14, chap 19"
415,14,19,certain,"Livre 14, chap 19"
416,14,21,certain,"Livre 14, chap 21"
417,14,21,certain,"Livre 14, chap 21"
418,14,26,certain,"Livre 14, chap 26"
419,14,29,certain,"Livre 14, chap 29"
420,14,29,certain,"Livre 14, chap 29"
421,14,30,certain,"Livre 14, chap 30"
422,14,30,certain,"Livre 14, chap 30"
423,14,45,certain,"Livre 14, chap 45"
424,14,45,certain,"Livre 14, chap 45"
425,14,45,certain,"Livre 14, chap 45"
426,14,47,certain,"Livre 14, chap 47"
427,14,48,certain,"Livre 14, chap 48"
428,14,49,certain,"Livre 14, chap 49"
429,14,49,certain,"Livre 14, chap 49"
430,14,51,certain,"Livre 14, chap 51"
431,14,51,certain,"Livre 14, chap 51"
432,14,51,certain,"Livre 14, chap 51"
433,14,51,certain,"Livre 14, chap 51"
434,14,55,certain,"Livre 14, chap 55"
435,14,55,certain,"Livre 14, chap 55"
436,14,55,certain,"Livre 14, chap 55"
437,14,56,certain,"Livre 14, chap 56"
438,14,56,certain,"Livre 14, chap 56"
439,14,56,certain,"Livre 14, chap 56"
440,14,56,certain,"Livre 14, chap 56"
441,14,58,certain,"Livre 14, chap 58"
442,14,58,certain,"Livre 14, chap 58"
443,14,61,certain,"Livre 14, chap 61"
444,14,63,certain,"Livre 14, chap 63"
445,14,63,certain,"Livre 14, chap 63"
446,14,63,certain,"Livre 14, chap 63"
447,14,63,certain,"Livre 14, chap 63"
448,14,64,certain,"Livre 14, chap 64"
449,14,64,certain,"Livre 14, chap 64"
450,14,64,certain,"Livre 14, chap 64"
451,14,66,certain,"Livre 14, chap 66"
452,14,67,certain,"Livre 14, chap 67"
453,,,none,
454,14,83,certain,"Livre 14, chap 83"
455,14,83,certain,"Livre 14, chap 83"
456,14,83,certain,"Livre 14, chap 83"
457,,,none,
