page_id,livre,split
10925942_0294_p294,,train
10925942_0295_p295,,train
10925942_0296_p296,,train
10925942_0297_p297,,train
10925942_0298_p298,,train
10925942_0299_p299,,train
10925942_0300_p300,,train
10925942_0301_p301,,train
10925942_0302_p302,,train
10925942_0303_p303,,train
10925942_0304_p304,,val
10925942_0305_p305,,train
10925942_0306_p306,,train
10925942_0307_p307,,train
10925942_0308_p308,,train
10925942_0309_p309,,train
10925942_0310_p310,,train
10925942_0311_p311,,train
10925942_0312_p312,,train
10925942_0313_p313,,train
10925942_0314_p314,,train
10925942_0315_p315,,train
10925942_0316_p316,,train
10925942_0317_p317,,val
10925942_0318_p318,,val
10925942_0319_p319,,train
10925942_0320_p320,,val
10925942_0321_p321,,train
10925942_0322_p322,,train
10925942_0323_p323,,train
10925942_0324_p324,,val
10925942_0325_p325,,train
10925942_0326_p326,,train
10925942_0327_p327,,train
10925942_0328_p328,,train
10925942_0329_p329,,train
10925942_0330_p330,,train
10925942_0331_p331,,train
10925942_0332_p332,,train
10925942_0333_p333,,train
10925942_0334_p334,,train
10925942_0335_p335,,train
10925942_0336_p336,,train
10925942_0337_p337,,train
10925942_0338_p338,,train
10925942_0339_p339,,train
10925942_0340_p340,,train
10925942_0341_p341,,train
10925942_0342_p342,,train
10925942_0343_p343,,val
10925942_0344_p344,,train
10925942_0345_p345,,train
10925942_0346_p346,,train
10925942_0347_p347,,train
10925942_0348_p348,,train
10925942_0349_p349,,val
10925942_0350_p350,,train
10925942_0351_p351,,train
10925942_0352_p352,,val
10925942_0353_p353,,train
10925942_0354_p354,,train
10925942_0355_p355,,train
10925942_0356_p356,,val
10925942_0357_p357,,train
10925942_0358_p358,,val
10925942_0359_p359,,train
10925942_0360_p360,,train
10925942_0361_p361,,train
10925942_0362_p362,,train
10925942_0363_p363,,train
10925942_0364_p364,,train
10925942_0365_p365,,train
10925942_0366_p366,,train
10925942_0367_p367,,train
10925942_0368_p368,,val
10925942_0369_p369,,train
10925942_0370_p370,,train
10925942_0371_p371,,val
10925942_0372_p372,,train
10925942_0373_p373,,train
10925942_0374_p374,,train
10925942_0375_p375,,train
10925942_0376_p376,,train
10925942_0377_p377,,train
10925942_0378_p378,,train
10925942_0379_p379,,train
10925942_0380_p380,,train
10925942_0381_p381,,val
10925942_0382_p382,,train
10925942_0383_p383,,train
10925942_0384_p384,,train
10925942_0385_p385,,train
10925942_0386_p386,,train
10925942_0387_p387,,val
10925942_0388_p388,,val
10925942_0389_p389,,train
10925942_0390_p390,,train
10925942_0391_p391,,train
10925942_0392_p392,,train
10925942_0393_p393,,train
10925942_0394_p394,,train
10925942_0395_p395,,train
10925942_0396_p396,,train
10925942_0397_p397,,train
10925942_0398_p398,,train
10925942_0399_p399,,train
10925942_0400_p400,,train
10925942_0401_p401,,train
10925942_0402_p402,,train
10925942_0403_p403,,train
10925942_0404_p404,,train
10925942_0405_p405,,train
10925942_0406_p406,,train
10925942_0407_p407,,train
10925942_0408_p408,,train
10925942_0409_p409,,train
10925942_0410_p410,,train
10925942_0411_p411,,train
10925942_0412_p412,,train
10925942_0413_p413,,train
10925942_0414_p414,,train
10925942_0415_p415,,train
10925942_0416_p416,,train
10925942_0417_p417,,train
10925942_0418_p418,,train
10925942_0419_p419,,train
10925942_0420_p420,,train
10925942_0421_p421,,train
10925942_0422_p422,,train
10925942_0423_p423,,train
10925942_0424_p424,,val
10925942_0425_p425,,train
10925942_0426_p426,,train
10925942_0427_p427,,train
10925942_0428_p428,,train
10925942_0429_p429,,train
10925942_0430_p430,,train
10925942_0431_p431,,train
10925942_0432_p432,,train
10925942_0433_p433,,train
10925942_0434_p434,,train
10925942_0435_p435,,train
10925942_0436_p436,,train
10925942_0437_p437,,train
10925942_0438_p438,,train
10925942_0439_p439,,train
10925942_0440_p440,,train
10925942_0441_p441,,train
10925942_0442_p442,,train
10925942_0443_p443,,train
10925942_0444_p444,,train
10925942_0445_p445,,train
10925942_0446_p446,,train
10925942_0447_p447,,train
10925942_0448_p448,,train
10925942_0449_p449,,train
10925942_0450_p450,,train
10925942_0451_p451,,val
10925942_0452_p452,,train
10925942_0453_p453,,train
10925942_0454_p454,,train
10925942_0455_p455,,train
10925942_0456_p456,,train
10925942_0457_p457,,train
10925942_0458_p458,,train
10925942_0459_p459,,val
10925942_0460_p460,,train
10925942_0461_p461,,train
10925942_0462_p462,,val
10925942_0463_p463,,train
10925942_0464_p464,,train
10925942_0465_p465,,train
10925942_0466_p466,,train
10925942_0467_p467,,train
10925942_0468_p468,,train
10925942_0469_p469,,train
10925942_0470_p470,,train
10925942_0471_p471,,train
10925942_0472_p472,,train
10925942_0473_p473,,train
10925942_0474_p474,,train
10925942_0475_p475,,train
10925942_0476_p476,,train
10925942_0477_p477,,val
10925942_0478_p478,,train
10925942_0479_p479,,train
10925942_0480_p480,,train
10925942_0481_p481,,train
10925942_0482_p482,,val
10925942_0483_p483,,train
10925942_0484_p484,,train
10925942_0485_p485,,train
10925942_0486_p486,,train
10925942_0487_p487,,train
10925942_0488_p488,,train
10925942_0489_p489,,train
10925942_0490_p490,,train
10925942_0491_p491,,train
10925942_0492_p492,,train
10925942_0493_p493,,train
10925942_0494_p494,,train
10925942_0495_p495,,train
10925942_0496_p496,,train
10925942_0497_p497,,train
10925942_0498_p498,,train
10925942_0499_p499,,train
10925942_0500_p500,,train
10925942_0501_p501,,train
10925942_0502_p502,,train
10925942_0503_p503,,train
10925942_0504_p504,,train
10925942_0505_p505,,train
10925942_0506_p506,,train
10925942_0507_p507,,train
10925942_0508_p508,,train
10925942_0509_p509,,train
10925942_0510_p510,,train
10925942_0511_p511,,train
10925942_0512_p512,,train
10925942_0513_p513,,train
10925942_0514_p514,,val
10925942_0515_p515,,train
10925942_0516_p516,,train
10925942_0517_p517,,train
10925942_0518_p518,,train
10925942_0519_p519,,train
10925942_0520_p520,,train
10925942_0521_p521,,train
10925942_0522_p522,,train
10925942_0523_p523,,train
10925942_0524_p524,,train
10925942_0525_p525,,train
10925942_0526_p526,,train
10925942_0527_p527,,val
10925942_0528_p528,,train
10925942_0529_p529,,train
10925942_0530_p530,,train
10925942_0531_p531,,train
10925942_0532_p532,,train
10925942_0533_p533,,train
10925942_0534_p534,,train
10925942_0535_p535,,train
10925942_0536_p536,,train
10925942_0537_p537,,train
10925942_0538_p538,,train
10925942_0539_p539,,train
10925942_0540_p540,,train
10925942_0541_p541,,train
10925942_0542_p542,,train
10925942_0543_p543,,train
10925942_0544_p544,,train
10925942_0545_p545,,train
10925942_0546_p546,,train
10925942_0547_p547,,train
10925942_0548_p548,,train
10925942_0549_p549,,train
10925942_0550_p550,,train
10925942_0551_p551,,train
10925942_0552_p552,,val
10925942_0553_p553,,val
10925942_0554_p554,,train
10925942_0555_p555,,train
10925942_0556_p556,,train
10925942_0557_p557,,train
10925942_0558_p558,,train
10925942_0559_p559,,train
10925942_0560_p560,,train
10925942_0561_p561,,train
10925942_0562_p562,,train
10925942_0563_p563,,train
10925942_0564_p564,,val
10925942_0565_p565,,train
10925942_0566_p566,,train
10925942_0567_p567,,train
10925942_0568_p568,,val
10925942_0569_p569,,train
10925942_0570_p570,,train
10925942_0571_p571,,train
10925942_0572_p572,,val
10925942_0573_p573,,train
10925942_0574_p574,,train
10925942_0575_p575,,train
10925942_0576_p576,,train
10925942_0577_p577,,train
10925942_0578_p578,,val
10925942_0579_p579,,train
10925942_0580_p580,,train
10925942_0581_p581,,train
10925942_0582_p582,,train
10925942_0583_p583,,train
10925942_0584_p584,,train
10925942_0585_p585,,train
10925942_0586_p586,,train
10925942_0587_p587,,train
10925942_0588_p588,,train
10925942_0589_p589,,train
10925942_0590_p590,,train
10925942_0591_p591,,train
10925942_0592_p592,,train
10925942_0593_p593,,train
10925942_0594_p594,,train
10925942_0595_p595,,train
10925942_0596_p596,,train
10925942_0597_p597,,train
